train,valid,test
3.5411915613545313,2.9524337595159356,2.9677275816599527
2.812228524022632,2.6087182001634077,2.6421298753647577
2.475511352221171,2.218680360100486,2.2617428189232234
2.1480669495132236,1.947233720259233,1.9983045260111492
1.9097971750630274,1.7645222707228227,1.8098984843208676
1.7439687732193205,1.6468207294290715,1.690403733934675
1.6103082199891408,1.560579700903459,1.605441927909851
1.5021378099918365,1.5092175223610618,1.555331377756028
1.4219980190197627,1.4634696570309726,1.5070273194994246
1.346856673558553,1.4368695345791904,1.4784703311466036
1.2785667793618307,1.4291802427985452,1.466465087164016
1.2114264559414651,1.40853243524378,1.4546662682578677
1.1564385932352808,1.4087405042214827,1.4469937114488511
1.0939601966076427,1.4126889976588162,1.4534670994395302
1.0413112805949316,1.4259409254247493,1.46912678082784
0.9887036863300536,1.4264300953258167,1.4652916760671706
0.9438639192117585,1.4311218749393115,1.4686545389039176
0.8957218262884352,1.472971959547563,1.5081892467680431
0.8419746847616302,1.4625821709632874,1.5003031123252142
0.8023936947186788,1.5064763697710903,1.5422245547884987
